date,gen_tot,gen_com,gen_ind,ret_sales,gen_com_ind,direct_use_est,net_imports_est,losses_est,losses_est_perc,losses2,losses2_perc,losses_perc,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,ATAVG,DTAVG,yearmonth,Coverage,hp_sum,ht_sum,he_sum,hn_sum,hp_abs_sum,ht_abs_sum,he_abs_sum,hn_abs_sum,hp_mean,ht_mean,he_mean,hn_mean,hp_abs_mean,ht_abs_mean,he_abs_mean,hn_abs_mean,hp_std,ht_std,he_std,hn_std,hp_abs_std,ht_abs_std,he_abs_std,hn_abs_std,hp_min,ht_min,he_min,hn_min,hp_abs_min,ht_abs_min,he_abs_min,hn_abs_min,hp_max,ht_max,he_max,hn_max,hp_abs_max,ht_abs_max,he_abs_max,hn_abs_max
2008-07-01,401885.17256000004,12832.609750000003,698.9365499999999,359511.8446300001,13531.546300000002,12363.379153680238,5433.3922770862555,35443.34105340602,0.08701626715095138,30009.948776319772,0.07467294348073862,0.07467294348073862,2.8,74.08,0.71,0.71,0.43,0.71,331,6,0.01,0.03,0.1,0.32,0.08,0.12,0.33,61.09,87.04,52.294166666666655,21.785833333333343,20087,East,4311747.819999987,4796848.230000008,2011891.7399999937,28294.38999999988,4311747.819999987,4796848.230000008,2011891.7399999937,221452.04999999824,96.60015279489159,107.46831477540064,45.074308054217404,0.6339059034390024,96.60015279489159,107.46831477540064,45.074308054217404,4.96139912624618,12.140712139977891,8.038322928225819,8.310217499970133,5.823953172945912,12.140712139977891,8.038322928225819,8.310217499970133,3.1151634743453065,51.17,79.4,27.99,-32.94,51.17,79.4,27.99,0.0,145.57,148.93,128.83,29.82,145.57,148.93,128.83,32.94
2008-07-01,401885.17256000004,12832.609750000003,698.9365499999999,359511.8446300001,13531.546300000002,12363.379153680238,5433.3922770862555,35443.34105340602,0.08701626715095138,30009.948776319772,0.07467294348073862,0.07467294348073862,2.8,74.08,0.71,0.71,0.43,0.71,331,6,0.01,0.03,0.1,0.32,0.08,0.12,0.33,61.09,87.04,52.294166666666655,21.785833333333343,20087,West,4410600.600000015,4732555.245000034,1419401.970000011,209113.9400000016,4410600.600000015,4732555.245000034,1419401.970000011,222869.65000000192,98.80377688172076,106.0160225134416,31.79663911290347,4.6844520609319344,98.80377688172076,106.0160225134416,31.79663911290347,4.992599686379972,11.634681313318186,10.619068172129726,4.214576826766534,4.10060639248281,11.634681313318186,10.619068172129726,4.214576826766534,3.719266791601735,44.52,71.945,12.56,-14.73,44.52,71.945,12.56,0.0,138.72500000000002,145.8,93.305,30.57,138.72500000000002,145.8,93.305,30.57
2008-08-01,388006.0191600001,12638.58584,688.3782900000001,350941.17546,13326.964130000006,12145.098277440538,5245.327708618614,30165.07313117806,0.07670685268181905,24919.745422559456,0.06422515165230833,0.06422515165230833,3.05,72.28,1.16,1.16,1.59,1.16,282,15,1.21,0.81,0.61,0.38,0.84,0.34,0.42,59.61,84.94,52.294166666666655,19.985833333333346,20088,East,4359479.800000067,4790892.299999982,1891326.5299999989,40789.34000000012,4359479.800000067,4790892.299999982,1891326.5299999989,202004.8800000005,97.71770111850957,107.38780848631524,42.39406742429334,0.914292694954388,97.71770111850957,107.38780848631524,42.39406742429334,4.5279375966646604,13.449531731043113,9.308961554138927,7.9863047957389135,5.223940186019719,13.449531731043113,9.308961554138927,7.9863047957389135,2.7609459412169963,51.38,73.93,20.45,-27.01,51.38,73.93,20.45,0.0,144.08,145.77,105.67,45.9,144.08,145.77,105.67,45.9
2008-08-01,388006.0191600001,12638.58584,688.3782900000001,350941.17546,13326.964130000006,12145.098277440538,5245.327708618614,30165.07313117806,0.07670685268181905,24919.745422559456,0.06422515165230833,0.06422515165230833,3.05,72.28,1.16,1.16,1.59,1.16,282,15,1.21,0.81,0.61,0.38,0.84,0.34,0.42,59.61,84.94,52.294166666666655,19.985833333333346,20088,West,4479975.930000008,4761671.4149999935,1318021.4900000014,222621.10000000027,4479975.930000008,4761671.4149999935,1318021.4900000014,230355.1400000003,100.39161747899178,106.70412134453764,29.535495574229728,4.988708123249307,100.39161747899178,106.70412134453764,29.535495574229728,5.1620199439775964,12.764798644841786,11.784248161495581,3.923616150712298,3.4388366560053165,12.764798644841786,11.784248161495581,3.923616150712298,3.1727459652456163,42.7,67.79,11.7,-17.05,42.7,67.79,11.7,0.0,133.24,137.35500000000002,71.08500000000002,21.5,133.24,137.35500000000002,71.08500000000002,21.5
2008-09-01,337101.7148,10342.191540000002,648.8941100000002,321025.80196000007,10991.08565,10176.97071762706,21795.03987903691,27693.98200140986,0.0771642029089305,5898.94212237295,0.017498997671586303,0.017498997671586303,2.68,65.21,1.24,1.24,0.59,1.24,170,55,0.43,1.06,0.86,0.58,0.65,0.59,0.37,52.43,77.99,52.294166666666655,12.915833333333339,20089,East,4087185.8299999963,4489282.940000001,1748626.4699999937,51363.59999999988,4087185.8299999963,4489282.940000001,1748626.4699999937,166945.14000000074,94.64364547875412,103.95468194975109,40.491524140326355,1.1893852031955512,94.64364547875412,103.95468194975109,40.491524140326355,3.8658131295588927,15.007132579398945,10.857075407052193,8.962120524987252,4.530501953181882,15.007132579398945,10.857075407052193,8.962120524987252,2.64485550628542,42.87,71.29,22.59,-45.75,42.87,71.29,22.59,0.0,155.17,157.11,125.07,17.81,155.17,157.11,125.07,45.75
2008-09-01,337101.7148,10342.191540000002,648.8941100000002,321025.80196000007,10991.08565,10176.97071762706,21795.03987903691,27693.98200140986,0.0771642029089305,5898.94212237295,0.017498997671586303,0.017498997671586303,2.68,65.21,1.24,1.24,0.59,1.24,170,55,0.43,1.06,0.86,0.58,0.65,0.59,0.37,52.43,77.99,52.294166666666655,12.915833333333339,20089,West,4238897.574999976,4498421.520000006,1215509.2100000086,193903.26499999946,4239311.2149999775,4499039.910000007,1216721.3000000082,202757.9449999996,98.12262905092535,104.13012777777791,28.13678726851872,4.4885015046296175,98.13220405092541,104.14444236111125,28.164844907407602,4.693470949074066,14.164138579739625,12.833752706444285,6.448408152732662,3.0648556771887137,14.097646547544706,12.7170663214852,6.324732426910847,2.740670166744269,-105.84,-97.06,-121.0,-146.18,35.89,54.31500000000001,8.8,0.0,201.765,168.515,88.195,20.49,201.765,168.515,121.0,146.18
2008-10-01,317574.09182,11118.214329999999,625.5301,290871.31758000003,11743.74443,10659.779411336483,6415.760604951169,22458.755433614686,0.06931931745861399,16042.994828663524,0.05051732884355266,0.05051732884355266,2.18,53.98,1.21,1.21,0.28,1.21,48,283,-0.01,0.2,0.66,0.49,0.6,0.36,0.16,41.16,66.81,52.294166666666655,1.685833333333342,200810,East,4129731.3999999883,4492560.840000029,1700509.5800000066,68335.27999999966,4129731.3999999883,4492560.840000029,1700509.5800000066,133219.35999999958,92.52226727904085,100.65107740562405,38.0981198610957,1.5309797244314924,92.52226727904085,100.65107740562405,38.0981198610957,2.984638960457031,15.052271539078784,12.321950710696544,5.3375219847623345,3.638009171648453,15.052271539078784,12.321950710696544,5.3375219847623345,2.5827878075321284,30.12,54.91,22.81,-19.67,30.12,54.91,22.81,0.0,137.6,140.73,81.82,28.09,137.6,140.73,81.82,28.09
2008-10-01,317574.09182,11118.214329999999,625.5301,290871.31758000003,11743.74443,10659.779411336483,6415.760604951169,22458.755433614686,0.06931931745861399,16042.994828663524,0.05051732884355266,0.05051732884355266,2.18,53.98,1.21,1.21,0.28,1.21,48,283,-0.01,0.2,0.66,0.49,0.6,0.36,0.16,41.16,66.81,52.294166666666655,1.685833333333342,200810,West,4280590.740000002,4515429.355,1146799.720000001,208059.67500000077,4280590.740000002,4515429.355,1146799.720000001,215072.0950000002,95.89136962365595,101.15209128584229,25.68995788530468,4.660835013440877,95.89136962365595,101.15209128584229,25.68995788530468,4.81792327508961,13.674335252263779,12.965081751573925,6.458741404314622,2.4850233099604333,13.674335252263779,12.965081751573925,6.458741404314622,2.1647877106990467,26.305,39.685,8.76,-29.055,26.305,39.685,8.76,0.0,137.20499999999998,140.055,79.89,22.845,137.20499999999998,140.055,79.89,29.055
2008-11-01,309124.57586,10183.280799999999,596.10041,277490.39191,10779.38121,9855.804036371213,-8456.696221597038,13321.683692031751,0.04430697322259039,21778.37991362879,0.07045179068354643,0.07045179068354643,1.95,43.92,-0.37,0.71,-1.1,-0.06,12,535,-0.47,-0.33,-0.1,0.19,0.19,0.6,0.01,32.9,54.93,52.294166666666655,8.374166666666653,200811,East,3933458.510000008,4208048.310000001,1446074.900000008,65310.1999999999,3933458.510000008,4208048.310000001,1446074.900000008,88187.89999999988,93.87057036489055,100.42355702455673,34.51005655919643,1.5586043958666418,93.87057036489055,100.42355702455673,34.51005655919643,2.1045724649786384,15.079366370895182,13.093146517609837,4.06153349320231,2.7180738026278277,15.079366370895182,13.093146517609837,4.06153349320231,2.3211850139780426,14.92,35.78,9.94,-13.74,14.92,35.78,9.94,0.0,151.23,152.2,78.86,44.76,151.23,152.2,78.86,44.76
2008-11-01,309124.57586,10183.280799999999,596.10041,277490.39191,10779.38121,9855.804036371213,-8456.696221597038,13321.683692031751,0.04430697322259039,21778.37991362879,0.07045179068354643,0.07045179068354643,1.95,43.92,-0.37,0.71,-1.1,-0.06,12,535,-0.47,-0.33,-0.1,0.19,0.19,0.6,0.01,32.9,54.93,52.294166666666655,8.374166666666653,200811,West,4197377.650000024,4382236.494999976,940040.2300000008,226135.0500000021,4197377.650000024,4382236.494999976,940148.2800000005,226446.22000000215,97.16151967592647,101.44065960648092,21.76019050925928,5.234607638888939,97.16151967592647,101.44065960648092,21.76269166666668,5.241810648148198,13.991010404299777,13.151965807493696,4.712288875191502,3.0114084586184227,13.991010404299777,13.151965807493696,4.700724023402973,2.9988526839231633,17.759999999999994,35.405,-5.73,-7.75,17.759999999999994,35.405,0.07500000000000018,0.0,146.66,149.07999999999996,39.11,49.985,146.66,149.07999999999996,39.11,49.985
